epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,118.95,1.69564,3.15826,1.09737,0.28767,0.28987,0.20503,0.11048,1.46615,1.44757,1.02243,0.00996296,0.00332099,0.00996296,0.00332099,0.00996296,0.00332099,0.00996296,0.00332099
2,183.593,1.6453,2.1841,1.08251,0.23828,0.24855,0.15665,0.08136,1.5781,1.63448,1.07123,0.0199596,0.00665319,0.0199596,0.00665319,0.0199596,0.00665319,0.0199596,0.00665319
3,250.546,1.71788,2.08119,1.12408,0.341,0.18737,0.14853,0.07901,1.55416,2.28158,1.0638,0.0299426,0.00998088,0.0299426,0.00998088,0.0299426,0.00998088,0.0299426,0.00998088
4,311.857,1.71487,1.92637,1.12444,0.32753,0.27013,0.21178,0.10956,1.55992,1.50029,1.07284,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
5,367.111,1.68875,1.82501,1.1112,0.33788,0.29757,0.23888,0.12695,1.50246,1.3729,1.06176,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
6,421.511,1.64626,1.67595,1.09606,0.37833,0.32925,0.27915,0.15288,1.4668,1.29035,1.03564,0.029873,0.00995765,0.029873,0.00995765,0.029873,0.00995765,0.029873,0.00995765
7,480.513,1.62747,1.61345,1.08743,0.3316,0.24801,0.20168,0.106,1.51266,1.84237,1.04756,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
8,536.193,1.62121,1.54455,1.08156,0.37486,0.29025,0.2471,0.13274,1.46333,1.43723,1.03017,0.0297513,0.00991711,0.0297513,0.00991711,0.0297513,0.00991711,0.0297513,0.00991711
9,594.251,1.59241,1.51835,1.08126,0.39629,0.3374,0.29624,0.16536,1.43057,1.20513,1.02313,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
10,656.435,1.57843,1.47653,1.0652,0.42186,0.34358,0.30732,0.16984,1.39802,1.21577,1.01469,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
11,715.512,1.59033,1.45723,1.07816,0.42999,0.32201,0.29758,0.1686,1.434,1.25168,1.01466,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
